RPM,HP,Torque
5090,36.6,36
5140,36.8,36.1
5190,37.1,36.2
5250,37.3,36.2
5300,37.5,36.2
5350,37.8,36.3
5400,38.2,36.4
5450,38.6,36.5
5510,39.1,36.6
5560,39.6,36.8
5610,40.2,37
5660,40.8,37.2
5720,41.4,37.4
5770,42.1,37.6
5820,42.7,37.9
5870,43.3,38.1
5920,43.9,38.3
5980,44.4,38.5
6030,45,38.7
6080,45.6,38.8
6130,46.1,39
6190,46.6,39
6240,47,39.1
6290,47.4,39.1
6340,47.7,39.1
6400,48.1,39
6450,48.4,39
6500,48.7,38.9
6550,49,38.8
6600,49.4,38.9
6660,49.9,38.9
6710,50.4,39
6760,51,39.2
6810,51.7,39.4
6860,52.4,39.7
6920,53.1,39.9
6970,53.8,40.2
7020,54.5,40.4
7070,55.2,40.6
7130,55.8,40.8
7180,56.5,41
7230,57,41.1
7280,57.5,41.2
7330,58,41.3
7390,58.5,41.4
7440,59,41.4
7490,59.4,41.4
7540,59.8,41.3
7590,60.1,41.3
7650,60.4,41.2
7700,60.8,41.2
7750,61.2,41.2
7800,61.6,41.2
7860,62.1,41.3
7910,62.6,41.3
7960,62.9,41.3
8010,63.3,41.3
8060,63.6,41.3
8120,64,41.2
8170,64.3,41.1
8220,64.6,41.1
8270,64.9,41
8330,65.2,41
8380,65.5,40.9
8430,65.7,40.8
8480,65.9,40.7
8530,66.2,40.6
8590,66.5,40.6
8640,66.9,40.6
8690,67.2,40.5
8740,67.5,40.5
8800,67.8,40.5
8850,67.9,40.5
8900,68,40.5
8950,68.2,40.5
9000,68.3,40.5
9060,68.4,40.5
9110,68.7,40.5
9160,68.7,40.5
9210,69,40.5
9260,69.1,40.5
9320,69.2,40.4
9370,69.5,40.4
9420,69.5,40.3
9470,69.8,40.3
9530,70,40.1
9580,70,40
9630,70.1,39.9
9680,70.4,39.7
9730,70.4,39.5
9790,70.7,39.3
9840,70.8,39.1
9890,71,38.9
9940,71.1,38.7
10000,71.3,38.5
10000,71.5,38.2
10100,71.5,38
10200,71.6,37.7
10200,71.8,37.4
10300,71.8,37.2
10300,72,37
10400,72.1,36.7
10400,72.1,36.5
10500,72.3,36.3
10500,72.4,36
10600,72.4,35.7
10600,72.5,35.5
10700,72.6,35.2
10700,72.6,34.9
10800,72.7,34.6
10800,72.8,34.4
10900,72.8,34
10900,73,33.7
11000,73,33.5
11000,73.1,33.2
11100,73.1,33
11100,73.2,32.7
11200,73.2,32.4
11200,73.2,32.2
11300,73.2,31.9
11400,73.3,31.7
11400,73.3,31.5
11400,73.3,31.4
