RPM,Power (HP),Torque (lb-ft)
4060.606061,19.10614525,24.7119453
4393.939394,21.11731844,25.24116663
4757.575758,22.79329609,25.16205672
5000,24.80446927,26.05461453
5303.030303,28.49162011,28.21744932
5636.363636,31.17318436,29.0473743
6030.30303,34.8603352,30.36107465
6515.151515,37.87709497,30.53351903
6848.484848,41.22905028,31.6179384
7515.151515,43.91061453,30.68714543
8000,44.91620112,29.48748603
8333.333333,48.60335196,30.63177654
8575.757576,54.63687151,33.46093294
8787.878788,58.32402235,34.85684916
9030.30303,61.67597765,35.87058303
9575.757576,63.35195531,34.74654268
9909.090909,65.69832402,34.82131721
10363.63636,73.0726257,37.03115554
10757.57576,79.10614525,38.62073428
11060.60606,84.46927374,40.10925109
11272.72727,88.82681564,41.38469995
11636.36364,93.8547486,42.36075419
12030.30303,96.87150838,42.29063563
12363.63636,97.87709497,41.5776142
12818.18182,98.2122905,40.24057055
13242.42424,99.55307263,39.48315866
13636.36364,103.2402235,39.76262793
13939.39394,105.9217877,39.90856643
14303.0303,107.2625698,39.38627024
14636.36364,107.2625698,38.48927444
14939.39394,105.2513966,37.00152345
15151.51515,103.575419,35.90255464
15484.84848,100.8938547,34.22019438
15818.18182,99.55307263,33.05390869
16030.30303,99.21787709,32.50670243
