RPM,Power (HP),Torque (lb-ft)
3984.304933,25.57420495,33.71120601
4172.64574,27.03180212,34.02422194
4360.986547,29.2844523,35.267695
4619.955157,31.00706714,35.24906868
4823.991031,32.86219081,35.77789117
5020.179372,34.98233216,36.59773782
5208.520179,37.76501767,38.08027347
5475.336323,39.62014134,38.00405492
5695.067265,40.94522968,37.75975529
5954.035874,43.99293286,38.80575936
6197.309417,45.98056537,38.96689887
6346.412556,48.76325088,40.35423026
6597.533632,52.20848057,41.56082488
6754.484305,53.79858657,41.83149504
6911.434978,55.78621908,42.3919524
7123.318386,57.77385159,42.59647711
7272.421525,57.90636042,41.81883626
7515.695067,60.82155477,42.50236376
7727.578475,63.47173145,43.13816219
8002.242152,66.25441696,43.48383756
8269.058296,68.50706714,43.51149838
8567.264574,69.56713781,42.64682205
8865.470852,69.96466431,41.44781739
9100.896861,69.30212014,39.99328204
9375.560538,68.3745583,38.30204912
9595.29148,67.71201413,37.06229237
9815.022422,66.65194346,35.66532933
10026.90583,65.98939929,34.56463349
10340.80717,64.92932862,32.97700345
