RPM,Power (HP),Torque (lb-ft)
4031.746032,26.26865672,34.21916559
4349.206349,29.14179104,35.19094618
4984.126984,33.65671642,35.46560414
5682.539683,38.58208955,35.65890353
6380.952381,44.32835821,36.48554689
6825.396825,50.89552239,39.16303922
7333.333333,57.87313433,41.44768657
7746.031746,63.20895522,42.85722596
8349.206349,69.36567164,43.63390869
8920.634921,72.23880597,42.53040421
9523.809524,80.44776119,44.36372239
9936.507937,87.42537313,46.2091977
10126.98413,90.29850746,46.83010808
10761.90476,96.86567164,47.2721622
11428.57143,100.1492537,46.02358955
11873.01587,102.6119403,45.39014486
12285.71429,107.1268657,45.79548941
12888.88889,110,44.82310345
13365.07937,110,43.22608076
13746.03175,106.7164179,40.77355831
14095.2381,103.4328358,38.53991327
14349.20635,100.1492537,36.65595628
