write_millis,ecu_millis,breakout_millis,gps_millis,imu_millis,accel_millis,analogx1_millis,analogx2_millis,analogx3_millis,thermo_millis,rpm,time,syncloss_count,syncloss_code,lat,lon,elev,unixtime,ground_speed,afr,fuelload,spark_advance,baro,map,mat,clnt_temp,tps,batt,oil_press,ltcl_timing,ve1,ve2,egt,maf,in_temp,ax,ay,az,imu_x,imu_y,imu_z,susp_pot_1_FL,susp_pot_2_FR,susp_pot_4_RL,susp_pot_3_RR,oil_temp,amb_air_temp,brake1,brake2,rad_in,rad_out,steering,thermo_1,thermo_2,thermo_3,thermo_4
1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1846,0,0,0,1804,1804,1806,1806,1806,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.294,-9.948,0.057,-0.085,-0.11,0,0,0.15672802046241036,0.800880184562917,0.317,0,-625,-625,290.3359315843392,290.4751236025121,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1875,0,0,0,1833,1833,1835,1835,1835,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-0.114,-10.02,0.055,0.006,-0.008,0,0,0.19591002557801296,0.800880184562917,0.374,0,-625,-625,282.958754621175,283.7939067302124,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1899,0,0,0,1862,1862,1864,1864,1864,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,-0.258,-9.783,0.04,0.012,-0.117,0,0,0.2194192286473745,0.800880184562917,0.391,0,-625,-625,277.3910738942586,278.9221860941606,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1927,0,0,0,1878,1877,1864,1864,1864,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.294,-10.012,-0.057,-0.034,0.004,0,0,0.2194192286473745,0.800880184562917,0.391,0,-625,-625,277.3910738942586,278.9221860941606,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1956,0,0,1902,1913,1913,1916,1916,1916,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193,-0.265,-9.696,0.085,-0.08,-0.012,0,0,0.2225537890566227,0.800880184562917,0.383,0,-625,-625,273.49369738541714,275.58157765801076,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1987,0,0,1902,1943,1943,1945,1945,1945,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.172,-0.373,-9.704,0.051,0.008,-0.051,0,0,0.23587567079592758,0.800880184562917,0.405,0,-625,-625,269.7355128947485,271.8233931673422,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2016,0,0,1902,1974,1974,1976,1976,1976,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,-0.15,-10.027,0.038,0.006,0.095,0,0,0.2437120718190481,0.800880184562917,0.417,0,-625,-625,266.25571244042584,268.48278473119234,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2219,0,0,1902,2003,2003,2005,2005,2005,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122,-0.416,-9.804,0.004,0.027,0,0,0,0.2523321129444807,0.800880184562917,0.428,0,-625,-625,263.6110640951405,265.97732840407997,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2254,0,0,2060,2198,2198,2181,2181,2181,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,-0.229,-9.804,0.036,0.017,-0.1,0,0,0.2194192286473745,0.800880184562917,0.384,0,-625,-625,261.80156785889267,263.6110640951405,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2278,0,0,2060,2232,2232,2221,2221,2221,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107,-0.229,-9.833,0.117,-0.031,0.004,0,0,0.19904458598726116,0.800880184562917,0.376,0,-625,-625,261.3839918043739,263.88944813148635,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2303,0,0,2060,2267,2267,2267,2267,2267,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-0.229,-9.761,0.055,-0.044,0.085,0,0,0.2241210692612468,0.800880184562917,0.399,0,-625,-625,259.2961115317803,261.9407598770656,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2331,0,0,2060,2292,2292,2292,2292,2292,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021,-0.143,-9.926,-0.04,-0.021,0.068,0,0,0.242144791614424,0.800880184562917,0.427,0,-625,-625,257.06903924101374,259.43530354995323,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2356,0,0,2060,2320,2320,2320,2320,2320,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,-0.28,-9.89,0.036,-0.074,0.121,0,0,0.2523321129444807,0.800880184562917,0.459,0,-625,-625,254.98115896842006,257.3474232773595,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2381,0,0,2060,2345,2345,2345,2345,2345,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-0.244,-9.739,0.027,-0.098,-0.012,0,0,0.2656539946837856,0.8000965444606049,0.466,0,-625,-625,253.03247071399937,255.8163110774576,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2406,0,0,2060,2370,2370,2370,2370,2370,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129,-0.208,-9.854,0.046,-0.076,0.168,0,0,0.272706755604594,0.7961783439490446,0.458,0,-625,-625,251.36216649592444,254.14600685938262,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2621,0,0,2060,2395,2395,2395,2395,2395,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114,-0.222,-9.818,-0.029,0.004,-0.036,0,0,0.27897587642309046,0.800880184562917,0.462,0,-625,-625,249.97024631419532,252.75408667765356,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2659,0,0,2060,2608,2608,2610,2610,2610,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057,-0.193,-9.811,0.031,-0.019,0.104,0,0,0.24606299212598426,0.800880184562917,0.442,0,-625,-625,249.83105429602244,251.36216649592444,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2697,0,0,2060,2637,2637,2626,2626,2626,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.201,-9.811,0.021,-0.074,0.044,0,0,0.24136115151211193,0.800880184562917,0.431,0,-625,-625,250.10943833236826,251.50135851409738,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2725,0,0,2060,2675,2675,2664,2664,2664,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079,-0.143,-9.818,-0.006,0.008,0.057,0,0,0.22960654997743118,0.800880184562917,0.388,0,-625,-625,250.80539842323282,252.4757026413077,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2754,0,0,2060,2711,2711,2714,2714,2714,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064,-0.179,-9.804,0.023,-0.121,0.034,0,0,0.23039019007974323,0.800880184562917,0.41,0,-625,-625,250.80539842323282,252.19731860496194,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2783,0,0,2060,2741,2741,2743,2743,2743,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043,-0.287,-9.646,-0.063,-0.051,-0.055,0,0,0.24136115151211193,0.800880184562917,0.443,0,-625,-625,249.83105429602244,251.08378245957863,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2812,0,0,2060,2770,2770,2772,2772,2772,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129,-0.272,-9.89,0.053,-0.027,0.012,0,0,0.2507648327398566,0.800880184562917,0.438,0,-625,-625,248.85671016881207,250.24863035054113,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3029,0,0,2060,2799,2799,2801,2801,2801,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,-0.265,-9.804,-0.057,0.042,0.021,0,0,0.2593848738652892,0.8000965444606049,0.446,0,-625,-625,248.1607500779475,249.4134782415037,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3060,0,0,2967,3016,3016,3018,3018,3018,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-0.064,-9.61,-0.042,-0.176,0.044,0,0,0.2225537890566227,0.800880184562917,0.415,0,-625,-625,252.89327869582638,253.72843080486393,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3089,0,0,2967,3047,3047,3049,3049,3049,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,-0.531,-9.675,0.112,0.002,-0.012,0,0,0.23509203069361556,0.800880184562917,0.449,0,-625,-625,251.08378245957863,252.3365106231348,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3113,0,0,2967,3076,3076,3078,3078,3078,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,-0.086,-9.905,-0.025,-0.014,0.008,0,0,0.2452793520236722,0.801663824665229,0.451,0,-625,-625,249.97024631419532,251.08378245957863,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3149,0,0,2967,3092,3091,3078,3078,3078,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.344,0.129,-10.077,-0.098,-0.078,-0.036,0,0,0.2452793520236722,0.801663824665229,0.451,0,-625,-625,249.97024631419532,251.08378245957863,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3176,0,0,3116,3127,3127,3116,3116,3116,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165,-0.021,-9.632,0,0.063,-0.029,0,0,0.22803926977280706,0.800880184562917,0.407,0,-625,-625,251.50135851409738,252.61489465948063,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3204,0,0,3151,3162,3162,3165,3165,3165,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021,-0.172,-9.869,0.027,-0.055,-0.123,0,0,0.22333742915893479,0.800880184562917,0.411,0,-625,-625,251.64055053227025,252.4757026413077,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3411,0,0,3151,3191,3191,3193,3193,3193,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,-0.308,-9.768,-0.115,0.034,-0.049,0,0,0.23744295100055168,0.800880184562917,0.433,0,-625,-625,250.24863035054113,250.9445904414057,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3436,0,0,3151,3400,3400,3400,3400,3400,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,-0.308,-9.754,0.006,-0.115,-0.159,0,0,0.23039019007974323,0.800880184562917,0.436,0,-625,-625,251.2229744777515,251.64055053227025,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3461,0,0,3151,3425,3425,3425,3425,3425,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043,-0.301,-9.79,0.036,0.04,-0.166,0,0,0.2452793520236722,0.800880184562917,0.456,0,-625,-625,249.6918622778495,249.97024631419532,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3486,0,0,3151,3450,3450,3450,3450,3450,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.258,0.093,-9.804,-0.144,0.04,0.053,0,0,0.25703395355835296,0.800880184562917,0.467,0,-625,-625,248.29994209612045,249.13509420515788,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3511,0,0,3151,3475,3475,3475,3475,3475,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-0.021,-9.84,-0.023,0.076,0.061,0,0,0.2648703545814735,0.800880184562917,0.468,0,-625,-625,247.46478998708295,248.1607500779475,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3536,0,0,3151,3500,3500,3500,3500,3500,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165,0.208,-10.034,0.176,0,0.021,0,0,0.272706755604594,0.801663824665229,0.484,0,-625,-625,246.62963787804551,247.46478998708295,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3563,0,0,3151,3525,3525,3525,3525,3525,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021,-0.057,-10.077,-0.006,0.029,0.074,0,0,0.27740859621846636,0.800880184562917,0.471,0,-625,-625,245.65529375083509,246.76882989621845,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3595,0,0,3151,3541,3541,3525,3525,3525,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,-0.251,-9.941,0.142,0.01,0.027,0,0,0.27740859621846636,0.800880184562917,0.471,0,-625,-625,245.65529375083509,246.76882989621845,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3803,0,0,3151,3579,3579,3584,3584,3584,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-0.351,-9.747,-0.002,-0.019,-0.008,0,0,0.24841391243292046,0.800880184562917,0.408,0,-625,-625,247.74317402342876,248.57832613246626,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3834,0,0,3151,3788,3788,3792,3792,3792,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,-0.165,-9.826,0.029,0.129,0.108,0,0,0.2178519484427504,0.800880184562917,0.403,0,-625,-625,250.80539842323282,251.36216649592444,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3865,0,0,3151,3819,3819,3823,3823,3823,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165,-0.258,-9.869,0.057,0,-0.049,0,0,0.24136115151211193,0.800880184562917,0.439,0,-625,-625,249.55267025967663,249.97024631419532,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3903,0,0,3151,3849,3849,3854,3854,3854,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,-0.258,-9.854,0.057,-0.095,0.046,0,0,0.2405775114097999,0.800880184562917,0.454,0,-625,-625,248.71751815063914,249.13509420515788,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
